event_name,timestamp,properties
page_view,2026-05-17T08:15:00Z,"{""browser"": ""Chrome"", ""path"": ""/home""}"
page_view,2026-05-17T08:45:00Z,"{""browser"": ""Safari"", ""path"": ""/pricing""}"
button_click,2026-05-17T09:05:00Z,"{""button_id"": ""view_plans""}"
page_view,2026-05-17T11:20:00Z,"{""browser"": ""Firefox"", ""path"": ""/about""}"
page_view,2026-05-18T07:30:00Z,"{""browser"": ""Chrome"", ""path"": ""/home""}"
page_view,2026-05-18T09:15:00Z,"{""browser"": ""Edge"", ""path"": ""/features""}"
button_click,2026-05-18T09:18:00Z,"{""button_id"": ""demo_request""}"
page_view,2026-05-18T14:45:00Z,"{""browser"": ""Safari"", ""path"": ""/home""}"
signup,2026-05-18T14:50:00Z,"{""plan"": ""free""}"
page_view,2026-05-19T10:00:00Z,"{""browser"": ""Chrome"", ""path"": ""/home""}"
page_view,2026-05-19T10:05:00Z,"{""browser"": ""Chrome"", ""path"": ""/pricing""}"
button_click,2026-05-19T10:10:00Z,"{""button_id"": ""checkout""}"
purchase,2026-05-19T10:15:00Z,"{""amount"": 49, ""plan"": ""pro""}"
page_view,2026-05-19T16:20:00Z,"{""browser"": ""Safari"", ""path"": ""/blog""}"
page_view,2026-05-19T18:40:00Z,"{""browser"": ""Firefox"", ""path"": ""/home""}"
page_view,2026-05-20T08:10:00Z,"{""browser"": ""Chrome"", ""path"": ""/home""}"
page_view,2026-05-20T08:15:00Z,"{""browser"": ""Chrome"", ""path"": ""/features""}"
page_view,2026-05-20T09:30:00Z,"{""browser"": ""Edge"", ""path"": ""/pricing""}"
button_click,2026-05-20T09:35:00Z,"{""button_id"": ""checkout""}"
page_view,2026-05-20T11:00:00Z,"{""browser"": ""Safari"", ""path"": ""/home""}"
signup,2026-05-20T11:05:00Z,"{""plan"": ""pro""}"
page_view,2026-05-20T14:20:00Z,"{""browser"": ""Chrome"", ""path"": ""/blog""}"
page_view,2026-05-21T07:45:00Z,"{""browser"": ""Firefox"", ""path"": ""/home""}"
page_view,2026-05-21T08:00:00Z,"{""browser"": ""Firefox"", ""path"": ""/pricing""}"
button_click,2026-05-21T08:05:00Z,"{""button_id"": ""view_plans""}"
page_view,2026-05-21T13:15:00Z,"{""browser"": ""Chrome"", ""path"": ""/home""}"
page_view,2026-05-21T15:30:00Z,"{""browser"": ""Safari"", ""path"": ""/features""}"
page_view,2026-05-21T19:45:00Z,"{""browser"": ""Edge"", ""path"": ""/blog""}"
page_view,2026-05-22T09:10:00Z,"{""browser"": ""Chrome"", ""path"": ""/home""}"
page_view,2026-05-22T09:15:00Z,"{""browser"": ""Chrome"", ""path"": ""/pricing""}"
button_click,2026-05-22T09:20:00Z,"{""button_id"": ""checkout""}"
purchase,2026-05-22T09:25:00Z,"{""amount"": 99, ""plan"": ""enterprise""}"
page_view,2026-05-22T11:40:00Z,"{""browser"": ""Safari"", ""path"": ""/home""}"
page_view,2026-05-22T14:00:00Z,"{""browser"": ""Firefox"", ""path"": ""/about""}"
page_view,2026-05-23T08:30:00Z,"{""browser"": ""Chrome"", ""path"": ""/home""}"
page_view,2026-05-23T08:45:00Z,"{""browser"": ""Chrome"", ""path"": ""/features""}"
page_view,2026-05-23T10:15:00Z,"{""browser"": ""Safari"", ""path"": ""/pricing""}"
button_click,2026-05-23T10:20:00Z,"{""button_id"": ""demo_request""}"
signup,2026-05-23T10:30:00Z,"{""plan"": ""free""}"
page_view,2026-05-23T16:50:00Z,"{""browser"": ""Edge"", ""path"": ""/home""}"
page_view,2026-05-24T09:00:00Z,"{""browser"": ""Chrome"", ""path"": ""/home""}"
page_view,2026-05-24T09:10:00Z,"{""browser"": ""Chrome"", ""path"": ""/pricing""}"
button_click,2026-05-24T09:15:00Z,"{""button_id"": ""checkout""}"
purchase,2026-05-24T09:20:00Z,"{""amount"": 49, ""plan"": ""pro""}"
page_view,2026-05-24T11:30:00Z,"{""browser"": ""Safari"", ""path"": ""/blog""}"
page_view,2026-05-24T14:45:00Z,"{""browser"": ""Firefox"", ""path"": ""/home""}"
